GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,GADE,SWL1,SWL2,SWL3,SWL4,SWL5,Game,Platform,Hours,whyplay,League,streams,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Narcissism,Gender,Age,Work,Residence,Playstyle,GAD_T,SWL_T,SPIN_T
0,0,0,0,0,0,0,Not difficult at all,6,7,7,7,4,Other,PC,40.0,having_fun,unranked,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Male,19,Student at school,USA,multiplayer - online - with real life friends,0,31,14.0
1,0,1,2,1,1,1,Not difficult at all,2,4,3,5,2,Other,PC,10.0,improving,undefined,0.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,Male,40,Employed,Canada,singleplayer,7,16,54.0
0,0,0,0,0,0,0,Not difficult at all,5,5,5,5,5,Other,PC,10.0,having_fun,undefined,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,Male,18,Student at college / university,USA,multiplayer - online - with strangers,0,25,68.0
2,2,2,2,1,0,1,Not difficult at all,7,7,7,7,7,Counter Strike,PC,7.0,having_fun,undefined,3.0,0.0,2.0,2.0,1.0,4.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,3.0,Male,19,Student at college / university,USA,singleplayer,10,35,21.0
0,0,0,0,0,1,0,Not difficult at all,7,7,6,7,4,Other,PC,25.0,all_of_the_above,undefined,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,Male,23,Employed,USA,singleplayer,1,31,3.0
3,2,3,3,0,3,2,Extremely difficult,2,5,3,2,2,Other,PC,10.0,winning,undefined,0.0,4.0,4.0,3.0,4.0,4.0,4.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,Male,24,Student at college / university,Canada,multiplayer - online - with strangers,16,14,61.0
2,3,3,2,3,3,3,Not difficult at all,6,6,7,6,4,League of Legends,PC,25.0,improving,undefined,5.0,1.0,2.0,1.0,4.0,4.0,4.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,5.0,Male,18,Student at school,Latvia,multiplayer - online - with real life friends,19,29,47.0
2,2,2,2,1,1,1,Somewhat difficult,3,4,3,3,3,Other,PC,25.0,having_fun,undefined,5.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Male,20,Student at college / university,USA,singleplayer,11,16,15.0
0,0,0,0,0,0,0,Not difficult at all,6,6,6,5,4,Other,PC,10.0,improving,undefined,2.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,Male,23,Student at college / university,Austria,multiplayer - online - with real life friends,0,27,36.0
0,0,1,1,1,0,1,Somewhat difficult,5,5,5,5,2,Other,PC,30.0,having_fun,undefined,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Male,21,Student at college / university,UK,multiplayer - online - with online acquaintances or teammates,4,22,0.0
